Print Temperature,Layer height,Infill Overlap,Printing Speed,Infill Type,Z-Height,Porosity
190,100,35,30,Grid,135,0.016
190,100,35,30,Grid,162,0.019
190,100,35,30,Grid,189,0.021
190,100,35,30,Grid,216,0.019
190,100,35,30,Grid,243,0.021
190,100,35,30,Grid,270,0.022
190,100,35,30,Grid,297,0.021
190,100,35,30,Grid,324,0.022
190,100,35,30,Grid,351,0.022
190,100,35,30,Grid,378,0.021
190,100,35,30,Grid,405,0.021
190,100,35,30,Grid,432,0.021
190,100,35,30,Grid,459,0.019
190,100,35,30,Grid,486,0.018
190,100,35,30,Grid,513,0.018
190,100,35,30,Grid,540,0.017
190,100,35,30,Grid,567,0.016
190,100,35,30,Grid,594,0.016
190,100,35,30,Grid,621,0.018
190,100,35,30,Grid,648,0.017
190,100,35,30,Grid,675,0.016
190,100,35,30,Grid,702,0.017
190,100,35,30,Grid,729,0.017
190,100,35,30,Grid,756,0.016
190,100,35,30,Grid,783,0.016
190,100,35,30,Grid,810,0.017
190,100,35,30,Grid,837,0.016
190,100,35,30,Grid,864,0.016
190,100,35,30,Grid,891,0.017
190,100,35,30,Grid,918,0.016
190,100,35,30,Grid,945,0.016
190,100,35,30,Grid,972,0.017
190,100,35,30,Grid,999,0.017
190,100,35,30,Grid,1026,0.016
190,100,35,30,Grid,1053,0.018
190,100,35,30,Grid,1080,0.018
190,100,35,30,Grid,1107,0.018
190,100,35,30,Grid,1134,0.019
190,100,35,30,Grid,1161,0.020
190,100,35,30,Grid,1188,0.020
190,100,35,30,Grid,1215,0.022
190,100,35,30,Grid,1242,0.023
190,100,35,30,Grid,1269,0.023
190,100,35,30,Grid,1296,0.023
190,100,35,30,Grid,1323,0.025
190,100,35,30,Grid,1350,0.024
190,100,35,30,Grid,1377,0.024
190,100,35,30,Grid,1404,0.025
190,100,35,30,Grid,1431,0.025
190,100,35,30,Grid,1458,0.024
190,100,35,30,Grid,1485,0.025
190,100,35,30,Grid,1512,0.025
190,100,35,30,Grid,1539,0.025
190,100,35,30,Grid,1566,0.025
190,100,35,30,Grid,1593,0.026
190,100,35,30,Grid,1620,0.026
190,100,35,30,Grid,1647,0.026
190,100,35,30,Grid,1674,0.027
190,100,35,30,Grid,1701,0.026
190,100,35,30,Grid,1728,0.026
190,100,35,30,Grid,1755,0.027
190,100,35,30,Grid,1782,0.026
190,100,35,30,Grid,1809,0.024
190,100,35,30,Grid,1836,0.024
190,100,35,30,Grid,1863,0.024
190,100,35,30,Grid,1890,0.022
190,100,35,30,Grid,1917,0.023
190,100,35,30,Grid,1944,0.023
190,100,35,30,Grid,1971,0.021
190,100,35,30,Grid,1998,0.021
190,100,35,30,Grid,2025,0.022
190,100,35,30,Grid,2052,0.020
190,100,35,30,Grid,2079,0.019
190,100,35,30,Grid,2106,0.020
190,100,35,30,Grid,2133,0.019
190,100,35,30,Grid,2160,0.018
190,100,35,30,Grid,2187,0.017
190,100,35,30,Grid,2214,0.017
190,100,35,30,Grid,2241,0.016
190,100,35,30,Grid,2268,0.016
190,100,35,30,Grid,2295,0.016
190,100,35,30,Grid,2322,0.014
190,100,35,30,Grid,2349,0.014
190,100,35,30,Grid,2376,0.014
190,100,35,30,Grid,2403,0.013
190,100,35,30,Grid,2430,0.013
190,100,35,30,Grid,2457,0.013
190,100,35,30,Grid,2484,0.012
190,100,35,30,Grid,2511,0.012
190,100,35,30,Grid,2538,0.012
190,100,35,30,Grid,2565,0.012
190,100,35,30,Grid,2592,0.011
190,100,35,30,Grid,2619,0.011
190,100,35,30,Grid,2646,0.011
190,100,35,30,Grid,2673,0.011
190,100,35,30,Grid,2700,0.010
190,100,35,30,Grid,2727,0.010
190,100,35,30,Grid,2754,0.010
190,100,35,30,Grid,2781,0.009
190,100,35,30,Grid,2808,0.010
190,100,35,30,Grid,2835,0.010
190,100,35,30,Grid,2862,0.010
190,100,35,30,Grid,2889,0.010
190,100,35,30,Grid,2916,0.011
190,100,35,30,Grid,2943,0.011
190,100,35,30,Grid,2970,0.011
190,100,35,30,Grid,2997,0.012
190,100,35,30,Grid,3024,0.012
190,100,35,30,Grid,3051,0.012
190,100,35,30,Grid,3078,0.013
190,100,35,30,Grid,3105,0.014
190,100,35,30,Grid,3132,0.013
190,100,35,30,Grid,3159,0.014
190,100,35,30,Grid,3186,0.015
190,100,35,30,Grid,3213,0.015
190,100,35,30,Grid,3240,0.015
190,100,35,30,Grid,3267,0.016
190,100,35,30,Grid,3294,0.016
190,100,35,30,Grid,3321,0.016
190,100,35,30,Grid,3348,0.017
190,100,35,30,Grid,3375,0.017
190,100,35,30,Grid,3402,0.017
190,100,35,30,Grid,3429,0.017
190,100,35,30,Grid,3456,0.018
190,100,35,30,Grid,3483,0.018
190,100,35,30,Grid,3510,0.018
190,100,35,30,Grid,3537,0.019
190,100,35,30,Grid,3564,0.019
190,100,35,30,Grid,3591,0.018
190,100,35,30,Grid,3618,0.019
190,100,35,30,Grid,3645,0.020
190,100,35,30,Grid,3672,0.020
190,100,35,30,Grid,3699,0.020
190,100,35,30,Grid,3726,0.021
190,100,35,30,Grid,3753,0.020
190,100,35,30,Grid,3780,0.020
190,100,35,30,Grid,3807,0.020
190,100,35,30,Grid,3834,0.020
190,100,35,30,Grid,3861,0.019
190,100,35,30,Grid,3888,0.020
190,100,35,30,Grid,3915,0.019
190,100,35,30,Grid,3942,0.018
190,100,35,30,Grid,3969,0.018
190,100,35,30,Grid,3996,0.018
190,100,35,30,Grid,4023,0.016
190,100,35,30,Grid,4050,0.016
190,100,35,30,Grid,4077,0.016
190,100,35,30,Grid,4104,0.015
190,100,35,30,Grid,4131,0.015
190,100,35,30,Grid,4158,0.016
190,100,35,30,Grid,4185,0.015
190,100,35,30,Grid,4212,0.015
190,100,35,30,Grid,4239,0.015
190,100,35,30,Grid,4266,0.016
190,100,35,30,Grid,4293,0.015
190,100,35,30,Grid,4320,0.015
190,100,35,30,Grid,4347,0.016
190,100,35,30,Grid,4374,0.017
190,100,35,30,Grid,4401,0.018
190,100,35,30,Grid,4428,0.020
190,100,35,30,Grid,4455,0.021
190,100,35,30,Grid,4482,0.023
190,200,65,70,Hexagon,270,0.000
190,200,65,70,Hexagon,297,0.001
190,200,65,70,Hexagon,324,0.002
190,200,65,70,Hexagon,351,0.001
190,200,65,70,Hexagon,378,0.001
190,200,65,70,Hexagon,405,0.000
190,200,65,70,Hexagon,432,0.000
190,200,65,70,Hexagon,459,0.004
190,200,65,70,Hexagon,486,0.005
190,200,65,70,Hexagon,513,0.002
190,200,65,70,Hexagon,540,0.003
190,200,65,70,Hexagon,567,0.002
190,200,65,70,Hexagon,594,0.000
190,200,65,70,Hexagon,621,0.000
190,200,65,70,Hexagon,648,0.001
190,200,65,70,Hexagon,675,0.006
190,200,65,70,Hexagon,702,0.007
190,200,65,70,Hexagon,729,0.004
190,200,65,70,Hexagon,756,0.000
190,200,65,70,Hexagon,783,0.000
190,200,65,70,Hexagon,810,0.001
190,200,65,70,Hexagon,837,0.003
190,200,65,70,Hexagon,864,0.003
190,200,65,70,Hexagon,891,0.002
190,200,65,70,Hexagon,918,0.000
190,200,65,70,Hexagon,945,0.000
190,200,65,70,Hexagon,972,0.000
190,200,65,70,Hexagon,999,0.000
190,200,65,70,Hexagon,1026,0.000
190,200,65,70,Hexagon,1053,0.000
190,200,65,70,Hexagon,1080,0.000
190,200,65,70,Hexagon,1107,0.000
190,200,65,70,Hexagon,1134,0.000
190,200,65,70,Hexagon,1161,0.000
190,200,65,70,Hexagon,1188,0.000
190,200,65,70,Hexagon,1215,0.000
190,200,65,70,Hexagon,1242,0.000
190,200,65,70,Hexagon,1269,0.000
190,200,65,70,Hexagon,1296,0.000
190,200,65,70,Hexagon,1323,0.000
190,200,65,70,Hexagon,1350,0.000
190,200,65,70,Hexagon,1377,0.000
190,200,65,70,Hexagon,1404,0.000
190,200,65,70,Hexagon,1431,0.000
190,200,65,70,Hexagon,1458,0.000
190,200,65,70,Hexagon,1485,0.000
190,200,65,70,Hexagon,1512,0.000
190,200,65,70,Hexagon,1539,0.000
190,200,65,70,Hexagon,1566,0.000
190,200,65,70,Hexagon,1593,0.000
190,200,65,70,Hexagon,1620,0.000
190,200,65,70,Hexagon,1647,0.000
190,200,65,70,Hexagon,1674,0.000
190,200,65,70,Hexagon,1701,0.000
190,200,65,70,Hexagon,1728,0.000
190,200,65,70,Hexagon,1755,0.000
190,200,65,70,Hexagon,1782,0.000
190,200,65,70,Hexagon,1809,0.000
190,200,65,70,Hexagon,1836,0.000
190,200,65,70,Hexagon,1863,0.000
190,200,65,70,Hexagon,1890,0.000
190,200,65,70,Hexagon,1917,0.000
190,200,65,70,Hexagon,1944,0.000
190,200,65,70,Hexagon,1971,0.000
190,200,65,70,Hexagon,1998,0.000
190,200,65,70,Hexagon,2025,0.000
190,200,65,70,Hexagon,2052,0.000
190,200,65,70,Hexagon,2079,0.000
190,200,65,70,Hexagon,2106,0.000
190,200,65,70,Hexagon,2133,0.000
190,200,65,70,Hexagon,2160,0.000
190,200,65,70,Hexagon,2187,0.001
190,200,65,70,Hexagon,2214,0.001
190,200,65,70,Hexagon,2241,0.001
190,200,65,70,Hexagon,2268,0.001
190,200,65,70,Hexagon,2295,0.001
190,200,65,70,Hexagon,2322,0.000
190,200,65,70,Hexagon,2349,0.000
190,200,65,70,Hexagon,2376,0.000
190,200,65,70,Hexagon,2403,0.000
190,200,65,70,Hexagon,2430,0.000
190,200,65,70,Hexagon,2457,0.000
190,200,65,70,Hexagon,2484,0.000
190,200,65,70,Hexagon,2511,0.000
190,200,65,70,Hexagon,2538,0.000
190,200,65,70,Hexagon,2565,0.000
190,200,65,70,Hexagon,2592,0.000
190,200,65,70,Hexagon,2619,0.000
190,200,65,70,Hexagon,2646,0.000
190,200,65,70,Hexagon,2673,0.000
190,200,65,70,Hexagon,2700,0.000
190,200,65,70,Hexagon,2727,0.000
190,200,65,70,Hexagon,2754,0.000
190,200,65,70,Hexagon,2781,0.000
190,200,65,70,Hexagon,2808,0.000
190,200,65,70,Hexagon,2835,0.001
190,200,65,70,Hexagon,2862,0.001
190,200,65,70,Hexagon,2889,0.000
190,200,65,70,Hexagon,2916,0.000
190,200,65,70,Hexagon,2943,0.000
190,200,65,70,Hexagon,2970,0.000
190,200,65,70,Hexagon,2997,0.000
